cycle,anomaly_score,threshold,is_anomaly,severity_level
1,21.10511647643738,50.0,False,NORMAL
5,30.037821386961188,50.0,False,NORMAL
9,56.06360405534514,50.0,True,WARNING
13,54.562251386492974,50.0,True,WARNING
17,39.94664918194756,50.0,False,NORMAL
21,40.023991670305485,50.0,False,NORMAL
25,56.64580675534846,50.0,True,WARNING
29,40.175236681264884,50.0,False,NORMAL
33,24.24075297968795,50.0,False,NORMAL
37,14.084675109449837,50.0,False,NORMAL
41,37.30685578058923,50.0,False,NORMAL
45,35.88810274966206,50.0,False,NORMAL
49,33.728696691597484,50.0,False,NORMAL
53,74.60127697629866,50.0,True,WARNING
57,25.719865979767675,50.0,False,NORMAL
61,34.35964523853713,50.0,False,NORMAL
65,35.57250838489774,50.0,False,NORMAL
69,72.25369595286098,50.0,True,WARNING
73,36.67702688399409,50.0,False,NORMAL
77,36.2332892591703,50.0,False,NORMAL
81,32.617068480729685,50.0,False,NORMAL
85,23.213988287368817,50.0,False,NORMAL
89,26.728757867528625,50.0,False,NORMAL
93,43.106897114184925,50.0,False,NORMAL
97,51.11096752138712,50.0,True,WARNING
101,49.85302297381446,50.0,False,WARNING
105,33.16208963625294,50.0,False,NORMAL
109,45.118795869264446,50.0,False,WARNING
113,44.7886646038053,50.0,False,NORMAL
117,25.939878939249677,50.0,False,NORMAL
121,20.155467107868887,50.0,False,NORMAL
125,44.15747712615314,50.0,False,NORMAL
129,52.39800712572161,50.0,True,WARNING
133,23.886357868593535,50.0,False,NORMAL
137,36.66070529837368,50.0,False,NORMAL
141,34.43629867552456,50.0,False,NORMAL
145,32.3168983803498,50.0,False,NORMAL
149,37.37655337163851,50.0,False,NORMAL
153,100.0,50.0,True,CRITICAL
157,100.0,50.0,True,CRITICAL
161,100.0,50.0,True,CRITICAL
165,100.0,50.0,True,CRITICAL
169,100.0,50.0,True,CRITICAL
173,100.0,50.0,True,CRITICAL
177,100.0,50.0,True,CRITICAL
181,100.0,50.0,True,CRITICAL
185,100.0,50.0,True,CRITICAL
189,100.0,50.0,True,CRITICAL
193,100.0,50.0,True,CRITICAL
197,100.0,50.0,True,CRITICAL
201,100.0,50.0,True,CRITICAL
205,100.0,50.0,True,CRITICAL
209,100.0,50.0,True,CRITICAL
213,100.0,50.0,True,CRITICAL
217,100.0,50.0,True,CRITICAL
221,100.0,50.0,True,CRITICAL
225,100.0,50.0,True,CRITICAL
229,100.0,50.0,True,CRITICAL
233,100.0,50.0,True,CRITICAL
237,100.0,50.0,True,CRITICAL
241,100.0,50.0,True,CRITICAL
245,100.0,50.0,True,CRITICAL
249,100.0,50.0,True,CRITICAL
253,100.0,50.0,True,CRITICAL
257,100.0,50.0,True,CRITICAL
261,100.0,50.0,True,CRITICAL
265,100.0,50.0,True,CRITICAL
269,100.0,50.0,True,CRITICAL
273,100.0,50.0,True,CRITICAL
277,100.0,50.0,True,CRITICAL
281,100.0,50.0,True,CRITICAL
285,100.0,50.0,True,CRITICAL
289,100.0,50.0,True,CRITICAL
293,100.0,50.0,True,CRITICAL
297,100.0,50.0,True,CRITICAL
